method,param,lead_time,bulletin_date,level,n_episodes,flag_raised_date,offset_days,direction
rate_of_rise,2.0x,D0,2026-01-16,informational,6,2026-01-24,8,lag 8d
rate_of_rise,2.0x,D0,2026-01-29,"red (Chefchaouen), orange (Al Hoceima/Larache and surrounding provinces)",6,2026-01-30,1,lag 1d
rate_of_rise,2.0x,D0,2026-02-01,orange,6,2026-02-02,1,lag 1d
rate_of_rise,2.0x,D0,2026-02-02,red,6,2026-02-02,0,match
rate_of_rise,2.0x,D0,2026-02-03,red,6,2026-02-03,0,match
rate_of_rise,2.0x,D0,2026-02-05,orange,6,2026-02-03,-2,led 2d
rate_of_rise,2.0x,D0,2026-02-07,orange,6,2026-02-07,0,match
rate_of_rise,2.0x,T-24h,2026-01-16,informational,5,2026-01-22,6,lag 6d
rate_of_rise,2.0x,T-24h,2026-01-29,"red (Chefchaouen), orange (Al Hoceima/Larache and surrounding provinces)",5,2026-02-01,3,lag 3d
rate_of_rise,2.0x,T-24h,2026-02-01,orange,5,2026-02-01,0,match
rate_of_rise,2.0x,T-24h,2026-02-02,red,5,2026-02-02,0,match
rate_of_rise,2.0x,T-24h,2026-02-03,red,5,2026-02-02,-1,led 1d
rate_of_rise,2.0x,T-24h,2026-02-05,orange,5,2026-02-06,1,lag 1d
rate_of_rise,2.0x,T-24h,2026-02-07,orange,5,2026-02-06,-1,led 1d
rate_of_rise,2.0x,T-48h,2026-01-16,informational,5,2026-01-22,6,lag 6d
rate_of_rise,2.0x,T-48h,2026-01-29,"red (Chefchaouen), orange (Al Hoceima/Larache and surrounding provinces)",5,2026-01-31,2,lag 2d
rate_of_rise,2.0x,T-48h,2026-02-01,orange,5,2026-02-01,0,match
rate_of_rise,2.0x,T-48h,2026-02-02,red,5,2026-02-02,0,match
rate_of_rise,2.0x,T-48h,2026-02-03,red,5,2026-02-02,-1,led 1d
rate_of_rise,2.0x,T-48h,2026-02-05,orange,5,2026-02-02,-3,led 3d
rate_of_rise,2.0x,T-48h,2026-02-07,orange,5,2026-02-02,-5,led 5d
rate_of_rise,2.0x,T-72h,2026-01-16,informational,5,2026-01-21,5,lag 5d
rate_of_rise,2.0x,T-72h,2026-01-29,"red (Chefchaouen), orange (Al Hoceima/Larache and surrounding provinces)",5,2026-01-30,1,lag 1d
rate_of_rise,2.0x,T-72h,2026-02-01,orange,5,2026-02-01,0,match
rate_of_rise,2.0x,T-72h,2026-02-02,red,5,2026-02-01,-1,led 1d
rate_of_rise,2.0x,T-72h,2026-02-03,red,5,2026-02-01,-2,led 2d
rate_of_rise,2.0x,T-72h,2026-02-05,orange,5,2026-02-01,-4,led 4d
rate_of_rise,2.0x,T-72h,2026-02-07,orange,5,2026-02-01,-6,led 6d
rate_of_rise,2.5x,D0,2026-01-16,informational,4,2026-01-24,8,lag 8d
rate_of_rise,2.5x,D0,2026-01-29,"red (Chefchaouen), orange (Al Hoceima/Larache and surrounding provinces)",4,2026-01-30,1,lag 1d
rate_of_rise,2.5x,D0,2026-02-01,orange,4,2026-02-02,1,lag 1d
rate_of_rise,2.5x,D0,2026-02-02,red,4,2026-02-02,0,match
rate_of_rise,2.5x,D0,2026-02-03,red,4,2026-02-03,0,match
rate_of_rise,2.5x,D0,2026-02-05,orange,4,2026-02-03,-2,led 2d
rate_of_rise,2.5x,D0,2026-02-07,orange,4,2026-02-03,-4,led 4d
rate_of_rise,2.5x,T-24h,2026-01-16,informational,5,2026-01-22,6,lag 6d
rate_of_rise,2.5x,T-24h,2026-01-29,"red (Chefchaouen), orange (Al Hoceima/Larache and surrounding provinces)",5,2026-02-01,3,lag 3d
rate_of_rise,2.5x,T-24h,2026-02-01,orange,5,2026-02-01,0,match
rate_of_rise,2.5x,T-24h,2026-02-02,red,5,2026-02-02,0,match
rate_of_rise,2.5x,T-24h,2026-02-03,red,5,2026-02-02,-1,led 1d
rate_of_rise,2.5x,T-24h,2026-02-05,orange,5,2026-02-06,1,lag 1d
rate_of_rise,2.5x,T-24h,2026-02-07,orange,5,2026-02-06,-1,led 1d
rate_of_rise,2.5x,T-48h,2026-01-16,informational,4,2026-01-23,7,lag 7d
rate_of_rise,2.5x,T-48h,2026-01-29,"red (Chefchaouen), orange (Al Hoceima/Larache and surrounding provinces)",4,2026-01-31,2,lag 2d
rate_of_rise,2.5x,T-48h,2026-02-01,orange,4,2026-02-01,0,match
rate_of_rise,2.5x,T-48h,2026-02-02,red,4,2026-02-02,0,match
rate_of_rise,2.5x,T-48h,2026-02-03,red,4,2026-02-02,-1,led 1d
rate_of_rise,2.5x,T-48h,2026-02-05,orange,4,2026-02-02,-3,led 3d
rate_of_rise,2.5x,T-48h,2026-02-07,orange,4,2026-02-02,-5,led 5d
rate_of_rise,2.5x,T-72h,2026-01-16,informational,5,2026-01-21,5,lag 5d
rate_of_rise,2.5x,T-72h,2026-01-29,"red (Chefchaouen), orange (Al Hoceima/Larache and surrounding provinces)",5,2026-01-30,1,lag 1d
rate_of_rise,2.5x,T-72h,2026-02-01,orange,5,2026-02-01,0,match
rate_of_rise,2.5x,T-72h,2026-02-02,red,5,2026-02-01,-1,led 1d
rate_of_rise,2.5x,T-72h,2026-02-03,red,5,2026-02-01,-2,led 2d
rate_of_rise,2.5x,T-72h,2026-02-05,orange,5,2026-02-01,-4,led 4d
rate_of_rise,2.5x,T-72h,2026-02-07,orange,5,2026-02-01,-6,led 6d
rate_of_rise,3.0x,D0,2026-01-16,informational,2,2026-01-24,8,lag 8d
rate_of_rise,3.0x,D0,2026-01-29,"red (Chefchaouen), orange (Al Hoceima/Larache and surrounding provinces)",2,2026-01-24,-5,led 5d
rate_of_rise,3.0x,D0,2026-02-01,orange,2,2026-02-03,2,lag 2d
rate_of_rise,3.0x,D0,2026-02-02,red,2,2026-02-03,1,lag 1d
rate_of_rise,3.0x,D0,2026-02-03,red,2,2026-02-03,0,match
rate_of_rise,3.0x,D0,2026-02-05,orange,2,2026-02-03,-2,led 2d
rate_of_rise,3.0x,D0,2026-02-07,orange,2,2026-02-03,-4,led 4d
rate_of_rise,3.0x,T-24h,2026-01-16,informational,4,2026-01-22,6,lag 6d
rate_of_rise,3.0x,T-24h,2026-01-29,"red (Chefchaouen), orange (Al Hoceima/Larache and surrounding provinces)",4,2026-02-01,3,lag 3d
rate_of_rise,3.0x,T-24h,2026-02-01,orange,4,2026-02-01,0,match
rate_of_rise,3.0x,T-24h,2026-02-02,red,4,2026-02-02,0,match
rate_of_rise,3.0x,T-24h,2026-02-03,red,4,2026-02-02,-1,led 1d
rate_of_rise,3.0x,T-24h,2026-02-05,orange,4,2026-02-02,-3,led 3d
rate_of_rise,3.0x,T-24h,2026-02-07,orange,4,2026-02-02,-5,led 5d
rate_of_rise,3.0x,T-48h,2026-01-16,informational,3,2026-01-23,7,lag 7d
rate_of_rise,3.0x,T-48h,2026-01-29,"red (Chefchaouen), orange (Al Hoceima/Larache and surrounding provinces)",3,2026-01-31,2,lag 2d
rate_of_rise,3.0x,T-48h,2026-02-01,orange,3,2026-02-01,0,match
rate_of_rise,3.0x,T-48h,2026-02-02,red,3,2026-02-01,-1,led 1d
rate_of_rise,3.0x,T-48h,2026-02-03,red,3,2026-02-01,-2,led 2d
rate_of_rise,3.0x,T-48h,2026-02-05,orange,3,2026-02-01,-4,led 4d
rate_of_rise,3.0x,T-48h,2026-02-07,orange,3,2026-02-01,-6,led 6d
rate_of_rise,3.0x,T-72h,2026-01-16,informational,5,2026-01-21,5,lag 5d
rate_of_rise,3.0x,T-72h,2026-01-29,"red (Chefchaouen), orange (Al Hoceima/Larache and surrounding provinces)",5,2026-01-30,1,lag 1d
rate_of_rise,3.0x,T-72h,2026-02-01,orange,5,2026-02-01,0,match
