date,handsum_D0,handsum_T24h,handsum_T48h,handsum_T72h,handsum_observed,server_daily_precip_sum_mm_D0,server_daily_precip_sum_mm_observed,D0_vs_server_diff_mm,observed_vs_server_diff_mm
2026-01-14,5.8999999999999995,1.8,1.7,11.1,3.4000000000000004,5.9,3.4,-0.0,0.0
2026-01-15,1.4,0.7000000000000001,0.0,2.5,2.5,1.4,2.5,0.0,0.0
2026-01-16,20.4,13.6,9.399999999999999,10.9,21.2,20.4,21.2,0.0,0.0
2026-01-17,19.7,19.8,15.2,22.3,17.2,19.7,17.2,0.0,0.0
2026-01-18,4.1,5.9,9.3,12.2,2.8,4.1,2.8,0.0,0.0
2026-01-19,0.2,0.1,0.2,0.30000000000000004,0.0,0.2,0.0,0.0,0.0
2026-01-20,0.6000000000000001,0.5,0.2,1.6,0.8,0.6,0.8,0.0,0.0
2026-01-21,8.1,4.4,10.6,9.3,17.7,8.1,17.7,0.0,0.0
2026-01-22,6.1,5.4,12.1,9.5,7.5,6.1,7.5,0.0,0.0
2026-01-23,17.8,29.0,25.2,20.3,37.1,17.8,37.1,0.0,0.0
2026-01-24,31.4,18.5,14.4,20.9,26.1,31.4,26.1,0.0,0.0
2026-01-25,16.8,11.1,23.1,26.2,10.0,16.8,10.0,0.0,0.0
2026-01-26,3.4,4.1,17.2,14.6,10.5,3.4,10.5,0.0,0.0
2026-01-27,9.1,5.1000000000000005,4.5,10.2,19.5,9.1,19.5,0.0,0.0
2026-01-28,8.8,5.3,3.5,6.7,32.2,8.8,32.2,0.0,0.0
2026-01-29,6.2,4.1000000000000005,5.5,2.8000000000000003,13.700000000000001,6.2,13.7,0.0,0.0
2026-01-30,19.8,11.7,8.9,7.5,15.1,19.8,15.1,0.0,0.0
2026-01-31,2.0,1.9000000000000001,1.3,1.1,1.2,2.0,1.2,0.0,0.0
2026-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-02,24.8,21.1,24.6,22.2,25.6,24.8,25.6,0.0,0.0
2026-02-03,29.8,28.5,23.9,45.1,29.0,29.8,29.0,0.0,0.0
2026-02-04,20.9,18.4,31.3,39.5,49.9,20.9,49.9,0.0,0.0
2026-02-05,7.1000000000000005,4.8,7.3,4.1,16.1,7.1,16.1,0.0,0.0
2026-02-06,12.6,12.3,12.7,11.2,15.6,12.6,15.6,0.0,0.0
2026-02-07,37.0,33.8,32.2,20.7,19.9,37.0,19.9,0.0,0.0
2026-02-08,7.6,6.3,17.8,18.8,8.9,7.6,8.9,0.0,0.0
